state_name,pc_no,pc_name,total_electors,male_electors,female_electors,third_gender_electors,previous_turnout_pct,target_turnout_pct
Andhra Pradesh,1,Araku (ST),1557153,756088,800954,111,74.28838556501297,74.87
Andhra Pradesh,2,Srikakulam,1646686,821758,824812,116,74.92862934884738,75.37
Andhra Pradesh,3,Vizianagaram,1590994,791124,799780,90,81.27987074296202,82.19
Andhra Pradesh,4,Visakhapatnam,1931398,952279,979004,115,67.78117312633248,72.03
Andhra Pradesh,5,Anakapalle,1601365,784191,817141,33,81.53583332840354,82.97
Andhra Pradesh,6,Kakinada,1634921,805234,829501,186,79.08371858075489,81.43
Andhra Pradesh,7,Amalapuram (SC),1532229,759898,772310,21,84.63998640682509,84.97
Andhra Pradesh,8,Rajahmundry,1623852,792975,830780,97,81.50452075794391,81.85
Andhra Pradesh,9,Narsapuram,1473811,722388,751345,78,81.90382519582326,83.63
Andhra Pradesh,10,Eluru,1638116,799901,838089,126,83.52675632464968,84.73
Andhra Pradesh,11,Machilipatnam,1540045,746622,793366,57,84.53894432200968,85.42
Andhra Pradesh,12,Vijayawada,1704469,830857,873461,151,77.30064355950475,80.44
Andhra Pradesh,13,Guntur,1793324,867085,926080,159,79.2164555930741,80.16
Andhra Pradesh,14,Narsaraopet,1736162,847765,888206,191,86.25118310623083,86.68
Andhra Pradesh,15,Bapatla (SC),1511177,739959,771133,85,86.4726000581478,86.57
Andhra Pradesh,16,Ongole,1614525,809009,805409,107,86.34948720469215,88.32
Andhra Pradesh,17,Nandyal,1724191,844830,879029,332,81.07340227791569,81.82
Andhra Pradesh,18,Kurnoolu,1724191,853777,870170,244,75.69390893504105,77.69
Andhra Pradesh,19,Ananthapur,1769264,874405,894625,234,81.00867705028362,81.7
Andhra Pradesh,20,Hindupur,1658529,825761,832692,76,84.90759831658238,85.91
Andhra Pradesh,21,Kadapa,1641349,803077,838056,216,78.68072316010011,80.89
Andhra Pradesh,22,Nellore,1712840,838816,873840,184,77.06398381200889,80.49
Andhra Pradesh,23,Thirupathi (SC),1730318,843597,886573,148,79.76434348630346,80.19
Andhra Pradesh,24,Rajampet,1667385,819081,848172,132,79.26316374670478,80.24
Andhra Pradesh,25,Chittoor (SC),1643593,809374,834087,132,84.24103685990224,86.76
Arunachal Pradesh,1,Arunachal West,520085,251346,268735,4,78.49646919303541,77.36
Arunachal Pradesh,2,Arunachal East,378357,192732,185624,1,87.03044251121287,86.18
Assam,1,Kokrajhar (ST),1494404,750857,743540,7,79.1808221774353,83.95
Assam,2,Dhubri,2663987,1365321,1298641,25,79.50774428796039,92.3
Assam,3,Barpeta,1979051,1007761,971269,21,77.62571534465322,85.4
Assam,4,Darrang-Udalguri,2214516,1113643,1100840,33,90.66441546870007,82.21
Assam,5,Guwahati,2039765,1003991,1035716,58,83.3021271613042,78.56
Assam,6,Diphu (ST),902050,449575,452456,19,86.56848741565287,76.2
Assam,7,Karimganj,1414520,725446,689062,12,80.86620984826153,81.13
Assam,8,Silchar (SC),1374559,688748,685787,24,83.6789267190931,79.37
Assam,9,Nagaon,1821023,918217,902724,82,79.47812773607514,85.15
Assam,10,Kaziranga,2053805,1028420,1025352,33,83.2265714502231,79.64
Assam,11,Sonitpur,1638992,817734,821225,33,82.12368395873513,78.74
Assam,12,Lakhimpur,1580500,789517,790966,17,77.56724186559319,76.83
Assam,13,Dibrugarh,1661998,812311,849652,35,77.30178137879768,76.92
Assam,14,Jorhat,1732944,854583,878356,5,75.17214447431022,80.57
Bihar,1,Valmiki Nagar,1829052,968965,860015,72,61.97716964614873,60.33
Bihar,2,Paschim Champaran,1759234,939087,820083,64,62.0246121981315,61.78
Bihar,3,Purvi Champaran,1793440,942619,850800,21,60.29733425294452,59.9
Bihar,4,Sheohar,1834437,969489,864885,63,59.596611345528295,57.56
Bihar,5,Sitamarhi,1950028,1029895,920058,75,59.322527153351814,56.25
Bihar,6,Madhubani,1936759,1016061,920607,91,53.81007787826626,53.08
Bihar,7,Jhanjharpur,2005278,1047537,957652,89,57.351611435222196,54.56
Bihar,8,Supaul,1928887,998369,930477,41,65.71529971253149,63.85
Bihar,9,Araria,2019757,1050929,968734,94,64.78983781783822,62.02
Bihar,10,Kishanganj,1830197,945306,884825,66,66.37877481470503,62.91
Bihar,11,Katihar,1834512,955971,878511,30,67.63764301997213,63.92
Bihar,12,Purnia,1895036,977600,917363,73,65.37025749555886,63.12
Bihar,13,Madhepura,2073608,1076602,996956,50,60.887174429394285,58.34
Bihar,14,Darbhanga,1782853,937999,844820,34,58.345635846027136,57.49
Bihar,15,Muzaffarpur,1869072,987259,881759,54,61.165823872484694,59.54
Bihar,16,Vaishali,1871877,989468,882340,69,61.910226079402854,62.63
Bihar,17,Gopalganj (SC),2027054,1031493,995481,80,55.77864588146652,52.52
Bihar,18,Siwan,1901956,992994,908907,55,54.72754036979224,52.48
Bihar,19,Maharajganj,1942449,1015534,926911,4,53.82266972310607,52.27
Bihar,20,Saran,1800790,946197,854584,9,56.59698917920676,56.79
Bihar,21,Hajipur (SC),1972915,1037490,935354,71,55.255792733749196,58.57
Bihar,22,Ujiarpur,1748377,922736,825621,20,60.15394157414873,59.64
Bihar,23,Samastipur (SC),1820016,956619,863369,28,60.73572241115406,60.21
Bihar,24,Begusarai,2200435,1159084,1041292,59,62.62838404356249,58.91
Bihar,25,Khagaria,1843767,966449,877270,48,57.705788527451396,57.62
Bihar,26,Bhagalpur,1988207,1031249,956849,109,57.1976401179941,53.57
Bihar,27,Banka,1859967,982365,877574,28,58.60088949354888,54.57
Bihar,28,Munger,2051829,1091862,959915,52,54.895512506455155,55.52
Bihar,29,Nalanda,2293994,1202273,1091652,69,48.79277513950432,49.91
Bihar,30,Patna Sahib,2295527,1211129,1084287,111,45.803137732944144,46.87
Bihar,31,Patliputra,2080613,1095711,984846,56,56.02808444028733,59.15
Bihar,32,Arrah,2183625,1168844,1014748,33,51.80857423326742,50.24
Bihar,33,Buxar,1934352,1016998,917337,17,53.950834520898695,55.53
Bihar,34,Sasaram (SC),1914914,1000776,914111,27,54.56619523256061,57.34
Bihar,35,Karakat,1888005,986518,901417,70,49.092112142019154,54.73
Bihar,36,Jahanabad,1678716,881253,797431,32,51.763097955622264,55.26
Bihar,37,Aurangabad,1875809,982046,893729,34,53.673654513814185,50.43
Bihar,38,Gaya (SC),1821330,948485,872825,20,56.180702054915066,52.98
Bihar,39,Nawada,2010286,1047731,962405,150,49.72720051670038,43.37
Bihar,40,Jamui (SC),1910619,1000537,910031,51,55.24512832685794,51.26
Goa,1,North Goa,580710,281617,299090,3,77.05388847279173,78.73
Goa,2,South Goa,598934,290292,308633,9,73.30914539002195,75.29
Gujarat,1,Kachchh (SC),1943633,1001224,942382,27,58.713505140395604,56.39
Gujarat,2,Banaskantha,1963312,1014732,948563,17,65.0258868941854,70.19
Gujarat,3,Patan,2021772,1039422,982318,32,62.44549797652851,59.13
Gujarat,4,Mahesana,1772048,912842,859148,58,65.78309131895863,60.9
Gujarat,5,Sabarkantha,1980797,1009351,971379,67,67.76746847590381,64.19
Gujarat,6,Gandhinagar,2183402,1121493,1061832,77,66.08307653723047,60.62
Gujarat,7,Ahmedabad East,2040263,1068564,971582,117,61.76357768933538,55.42
Gujarat,8,Ahmedabad West (SC),1727645,890852,836720,73,60.8058579081212,56.02
Gujarat,9,Surendranagar,2035001,1058159,976810,32,58.40716242688959,55.69
Gujarat,10,Rajkot,2112726,1094070,1018620,36,63.48645333987144,60.34
Gujarat,11,Porbandar,1769594,913428,856141,25,57.213986313499774,52.57
Gujarat,12,Jamnagar,1818959,932789,886134,36,61.03486313380796,57.84
Gujarat,13,Junagadh,1796532,919785,876722,25,61.310735398669635,59.54
Gujarat,14,Amreli,1733367,896212,837129,26,55.96993707517144,50.6
Gujarat,15,Bhavnagar,1918394,995380,922974,40,59.05354134514733,54.79
Gujarat,16,Anand,1780709,908442,872136,131,67.03932071962171,65.76
Gujarat,17,Kheda,2008281,1025815,982364,102,61.03968452817805,58.71
Gujarat,18,Panchmahal,1898234,967574,930633,27,62.22728372121814,59.68
Gujarat,19,Dahod (ST),1876247,928025,948203,19,66.56858079013645,59.65
Gujarat,20,Vadodara,1950123,995588,954305,230,68.17715343953076,62.24
Gujarat,21,Chhota Udaipur (ST),1822437,932362,890054,21,73.89994213922128,69.65
Gujarat,22,Bharuch,1723670,877707,845880,83,73.54707740845589,69.6
Gujarat,23,Bardoli (ST),2048788,1041490,1007279,19,73.89136535696727,65.58
Gujarat,25,Navsari,2223804,1197438,1026249,117,66.40279399368451,60.23
Gujarat,26,Valsad (ST),1860207,945740,914448,19,75.48422230600288,73.27
Haryana,1,AMBALA (SC),2003510,1062599,940835,76,71.09641146867014,67.29
Haryana,2,KURUKSHETRA,1799822,946102,853696,24,74.28582634168711,67.06
Haryana,3,SIRSA (SC),1941319,1026726,914550,43,75.98728809564871,69.87
Haryana,4,HISAR,1799539,963668,835860,11,72.42711652103146,65.3
Haryana,5,KARNAL,2109702,1112816,996848,38,68.34779877880027,63.83
Haryana,6,SONIPAT,1777008,953328,823636,44,71.02462559909482,63.42
Haryana,7,ROHTAK,1913628,1022698,890909,21,70.51814685461619,65.53
Haryana,8,BHIWANI-MAHENDRAGARH,1821764,973429,848322,13,70.47657734279464,65.02
Haryana,9,GURGAON,2584982,1372532,1212372,78,67.33073638321537,62.02
Haryana,10,FARIDABAD,2436637,1324705,1111813,119,64.10448611266638,60.48
Himachal Pradesh,1,KANGRA,1524032,776880,747147,5,70.72998827187394,68.15
Himachal Pradesh,2,MANDI,1377173,698666,678504,3,73.59937321590496,73.97
Himachal Pradesh,3,HAMIRPUR,1456099,738522,717562,15,72.82607179639264,72.28
Himachal Pradesh,4,SHIMLA (SC),1354665,699007,655646,12,72.68365519404965,71.7
Karnataka,1,Chikkodi,1770523,893799,876644,80,75.62422638345583,78.81
Karnataka,2,Belgaum,1931746,965239,966412,95,67.84173996122179,71.79
Karnataka,3,Bagalkot,1810090,899239,910750,101,70.69805928368964,72.91
Karnataka,4,Bijapur (SC),1947976,989826,957940,210,61.888131144695635,66.59
Karnataka,5,Gulbarga (SC),2098778,1050520,1047976,282,61.182671083095855,62.48
Karnataka,6,Raichur (ST),2010441,994976,1015166,299,58.34247828549262,64.9
Karnataka,7,Bidar,1894364,972779,921482,103,62.9969100245339,65.62
Karnataka,8,Koppal,1867016,920095,946786,135,68.55713704149208,71.23
Karnataka,9,Bellary (ST),1884472,929274,954929,269,69.75859348508392,73.76
Karnataka,10,Haveri,1794394,903696,890615,83,74.21015972982306,77.86
Karnataka,11,Dharwad,1834015,919895,914020,100,70.29064250734234,74.51
Karnataka,12,Uttara Kannada,1645721,828037,817668,16,74.16103954840007,76.8
Karnataka,13,Davanagere,1709809,852543,857129,137,73.18910955112598,77.27
Karnataka,14,Shimoga,1753615,863490,890090,35,76.58445202031649,78.61
Karnataka,15,Udupi Chikmagalur,1585721,768755,816929,37,76.074675354702,77.63
Karnataka,16,Hassan,1738818,865884,872891,43,77.35352531973703,78.06
Karnataka,17,Dakshina Kannada,1818127,887122,930928,77,77.99221554386844,78.02
Karnataka,18,Chitradurga (SC),1857385,926027,931254,104,70.79874113458058,73.65
Karnataka,19,Tumkur,1661834,819560,842200,74,77.42829700132728,78.49
Karnataka,20,Mandya,1780149,876988,902993,168,80.58520891306328,82.05
Karnataka,21,Mysore,2094310,1028309,1065817,184,69.5079925308477,70.96
Karnataka,22,Chamarajanagar (SC),1778667,879046,899514,107,75.35433393048704,77.04
Karnataka,23,Bangalore Rural,2802956,1425029,1377602,325,64.97903067839378,68.52
Karnataka,24,Bangalore North,3215291,1649669,1565018,604,54.76262174256383,54.64
Karnataka,25,Bangalore central,2434254,1255088,1178699,467,54.321379053227545,54.16
Karnataka,26,Bangalore South,2341895,1207404,1134091,400,53.69726502817211,53.38
Karnataka,27,Chikkballapur,1981767,984165,997336,266,76.73608730746692,77.26
Karnataka,28,Kolar (SC),1728198,855080,872907,211,77.24681756189258,78.51
Kerala,1,Kasaragod,1455530,704664,750852,14,80.65614467530392,76.76
Kerala,2,Kannur,1363080,650710,712364,6,83.2770913110418,78.22
Kerala,3,Vadakara,1424792,684423,740347,22,82.69923952189653,79.26
Kerala,4,Wayanad,1464472,723037,741420,15,80.36889589381023,74.19
Kerala,5,Kozhikode,1432508,693866,738616,26,81.70427852603595,76.3
Kerala,6,Malappuram,1480714,746743,733959,12,75.50279305151822,73.44
Kerala,7,Ponnani,1471260,729681,741552,27,74.9825877448679,69.78
Kerala,8,Palakkad,1400914,684909,715992,13,77.76766615520668,74.16
Kerala,9,Alathur (SC),1340183,650999,689172,12,80.46896338315464,74.15
Kerala,10,Thrissur,1483783,708974,774789,20,77.93838951170808,73.63
Kerala,11,Chalakudy,1311257,634996,676240,21,80.5101134208586,72.72
Kerala,12,Ernakulam,1324757,641291,683451,15,77.64139162035744,68.77
Kerala,13,Idukki,1251172,616010,635153,9,76.36321812735687,67.24
Kerala,14,Kottayam,1256138,608713,647410,15,75.46610668120772,66.7
Kerala,15,Alappuzha,1406689,680390,726290,9,80.35020243959427,75.99
Kerala,16,Mavelikkara (SC),1339159,637319,701831,9,74.33365288027997,67.07
Kerala,17,Pathanamthitta,1433956,687355,746592,9,74.30010392401759,64.27
Kerala,18,Kollam,1330873,635694,695160,19,74.72831451662657,69
Kerala,19,Attingal,1401114,657673,743406,35,74.48290158509229,70.44
Kerala,20,Thiruvananthapuram,1434657,693061,741537,59,73.73837615855602,67.22
Madhya Pradesh,1,MORENA,2015928,1080716,935189,23,61.96439833424298,59.01
Madhya Pradesh,2,BHIND (SC),1913389,1036316,877037,36,54.53455266822029,54.92
Madhya Pradesh,3,GWALIOR,2160206,1142669,1017473,64,59.82214616162788,62.3
Madhya Pradesh,4,GUNA,1890695,984985,905662,48,70.34016341593245,72.68
Madhya Pradesh,5,SAGAR,1746640,915935,830664,41,65.53704720209156,65.9
Madhya Pradesh,6,TIKAMGARH (SC),1827976,959251,868694,31,66.61737684677482,60.11
Madhya Pradesh,7,DAMOH,1926000,1009414,916569,17,65.83107989305606,56.58
Madhya Pradesh,8,KHAJURAHO,1998536,1048686,949816,34,68.30896343565342,57.11
Madhya Pradesh,9,SATNA,1708823,895906,812911,6,70.71172980907441,62.01
Madhya Pradesh,10,REWA,1859439,974090,885335,14,60.411518909411775,49.48
Madhya Pradesh,11,SIDHI,2030095,1053186,976895,14,69.502700283439,56.59
Madhya Pradesh,12,SHAHDOL (ST),1778158,902162,875975,21,74.76640140442893,64.83
Madhya Pradesh,13,JABALPUR,1898180,964785,933300,95,69.45792966949156,61.06
Madhya Pradesh,14,MANDLA (ST),2103244,1051639,1051579,26,77.79207048548456,73.04
Madhya Pradesh,15,BALAGHAT,1875760,932197,943547,16,77.65517826585018,73.72
Madhya Pradesh,16,CHHINDWARA,1634721,826815,807891,15,82.41959409367546,79.93
Madhya Pradesh,17,HOSHANGABAD,1858158,961014,897091,53,74.22036045086543,67.27
Madhya Pradesh,18,VIDISHA,1946631,1008723,937864,44,71.83108215185541,74.81
Madhya Pradesh,19,BHOPAL,2339411,1200649,1138585,177,65.73776833868365,64.12
Madhya Pradesh,20,RAJGARH,1876672,964296,912354,22,74.42061134525821,76.28
Madhya Pradesh,21,DEWAS (SC),1943559,997094,946442,23,79.50545951923968,75.63
Madhya Pradesh,22,UJJAIN (SC),1800347,908828,891441,78,75.4298775183915,73.83
Madhya Pradesh,23,MANDSOUR,1900808,960533,940247,28,77.88940157592106,75.49
Madhya Pradesh,24,RATLAM (ST),2095109,1040520,1054552,37,75.70233459671807,73.23
Madhya Pradesh,25,DHAR (ST),1955117,980272,974800,45,75.25533955415864,72.92
Madhya Pradesh,26,INDORE,2527978,1276189,1251692,97,69.32735750325452,61.82
